family,common_name,scientific_names,trophic_groups,swahili_names
Sillaginidae,Obtuse barracuda  ,Sphyraena obtusata,#N/A,Toa/msusa
Sillaginidae,Blackfin barracuda ,Sphyraena qenie,#N/A,Mzira boko/ mzia
Sillaginidae,Snakefish       ,Trachinocephalus myops,#N/A,Bumbula/Rukia
Sillaginidae,Fourlined terapon    ,Pelates quadrilineatus,#N/A,#N/A
Acanthuridae,Bignose unicornfish,Naso vlamingii,Planktivores,#N/A
Lutjanidae,Onespot snapper,Lutjanus monostigma,Omnivores,#N/A
Lutjanidae,Bengal snapper,Lutjanus bengalensis,Omnivores,#N/A
Lethrinidae,goldspot seabream,Gnathodentex aureolineatus,#N/A,#N/A
Lethrinidae,Orange spotted emperor,Lethrinus erythracanthus,Omnivores,#N/A
Lethrinidae,Longfin emperor,Lethrinus erythropterus,#N/A,#N/A
Leiognathidae,Robust ponyfish,Leiognathus robustus,#N/A,#N/A
Labridae,Moon wrasse,Thalassoma lunare,,#N/A
Labridae,Sunset wrasse,Thalassoma lutescens,#N/A,#N/A
Labridae,Doublespot wrasse,Pseudocheilinus dispilus ,#N/A,#N/A
Labridae,Gold ring Dottyback,Pseudocoris hemichrysos,#N/A,#N/A
Labridae,Mental wrasse,Oxycheilinus mentalis,,#N/A
Labridae,Adorned wrasse,Halichoeres cosmetus,,#N/A
Labridae,Bubblefin wrasse,Halichoeres dussumieri,,#N/A
Labridae,Finescale razor fish,Cymolutes torquatus,#N/A,#N/A
Labridae,Green birdmouth wrasse,Gomphosus caeruleus ,#N/A,#N/A
Labridae,Blue wrasse,Frontilabrus caeruleus,#N/A,#N/A
Labridae,Abudjubbe,Cheilinus abudjubbe,#N/A,#N/A
Labridae,Natal wrasse,Anchichoerops natalensis,#N/A,#N/A
Lethrinidae,Ornate emperor,Lethrinus ornatus,#N/A,#N/A
Lethrinidae,Redsnout empero,Lethrinus reticulatus,#N/A,#N/A
Acanthuridae,Indian sail fin surgeonfish,Zebrasoma desjardinii,Grazers,#N/A
Acanthuridae,Sleek unicorn,Naso hexacanthus,Planktivores,#N/A
Acanthuridae,Pony unicornfish,Naso minor,,#N/A
