f,Species,Old Name,Genus,Taxonomic Authority,Trophic Group,a,b,N,r,L.min,L.max,Source species,Citation,LS,TS,Diversity,,,,,
Scarinae,Calotomus viridescens,Calotomus viridescens*,Calotomus,(Rüppell 1835),Browsers,0.01995,3.01,,,,,Calotomus viridescens,Fishbase,N,Y,Y,,,,,
Scarinae,Cetoscarus ocellatus,Cetoscarus ocellatus,Cetoscarus,(Bleeker 1856),Large excavators,0.0157,3.000,,,,,Cetoscarus ocellatus,Fishbase,Y,Y,Y,,,,,
Scarinae,Chlorurus capistratoides B,Chlor. capistratoides,Chlorurus,(Bleeker 1847),Large excavators,0.0243,2.969,,,,,Chlorurus sordidus,Kulbicki et al 2005  listed in Green & Bellwood 60,N,Y,N,,,,,
Scarinae,Chlorurus capistratoides S,Chlor. capistratoides,Chlorurus,(Bleeker 1847),Small excavators,0.0243,2.969,,,,,Chlorurus sordidus,Kulbicki et al 2005  listed in Green & Bellwood 61,N,Y,N,,,,,
Scarinae,Chlorurus capistratoides,Chlor. capistratoides,Chlorurus,(Bleeker 1847),Small excavators,0.0243,2.969,,,,,Chlorurus sordidus,Kulbicki et al 2005  listed in Green & Bellwood 62,N,N,Y,,,,,
Scarinae,Chlorurus cyanescens B,Chlor. cyanescens,Chlorurus,(Valenciennes 1840),Large excavators,0.0273,2.969,,,,,Chlorurus gibbus,Kulbicki et al 2005  listed in Green & Bellwood 63,N,Y,N,,,,,
Scarinae,Chlorurus cyanescens S,Chlor. cyanescens,Chlorurus,(Valenciennes 1840),Small excavators,0.0273,2.969,,,,,Chlorurus gibbus,Kulbicki et al 2005  listed in Green & Bellwood 64,N,Y,N,,,,,
Scarinae,Chlorurus cyanescens,Chlor. cyanescens,Chlorurus,(Valenciennes 1840),Small excavators,0.0273,2.969,,,,,Chlorurus gibbus,Kulbicki et al 2005  listed in Green & Bellwood 65,N,N,Y,,,,,
Scarinae,Chlorurus sordidus B,Chlor. sordidus,Chlorurus,(Forsskal 1775),Large excavators,0.0243,2.969,,,,,Chlorurus sordidus,Kulbicki et al 2005  listed in Green & Bellwood 66,N,Y,N,,,,,
Scarinae,Chlorurus sordidus S,Chlor. sordidus,Chlorurus,(Forsskal 1775),Small excavators,0.0243,2.969,,,,,Chlorurus sordidus,Kulbicki et al 2005  listed in Green & Bellwood 67,N,Y,N,,,,,
Scarinae,Chlorurus sordidus,Chlor. sordidus,Chlorurus,(Forsskal 1775),Small excavators,0.0243,2.969,,,,,Chlorurus sordidus,Kulbicki et al 2005  listed in Green & Bellwood 68,N,N,Y,,,,,
Scarinae,Chlorurus strongylocephalus B,Chlor. strongylocephalus,Chlorurus,(Bleeker 1855),Large excavators,0.0273,2.930,,,,,Chlorurus gibbus,Kulbicki et al 2005  listed in Green & Bellwood 64,Y,Y,N,,,,,
Scarinae,Chlorurus strongylocephalus S,Chlor. strongylocephalus,Chlorurus,(Bleeker 1855),Small excavators,0.0273,2.930,,,,,Chlorurus gibbus,Kulbicki et al 2005  listed in Green & Bellwood 64,Y,Y,N,,,,,
Scarinae,Chlorurus strongylocephalus,Chlor. strongylocephalus,Chlorurus,(Bleeker 1855),Small excavators,0.0273,2.930,,,,,Chlorurus gibbus,Kulbicki et al 2005  listed in Green & Bellwood 64,N,N,Y,,,,,
Scarinae,Chlorurus genazonatus B,Chlor. genazonatus*,Chlorurus,(Randall & Bruce 1983),Large excavators,0.0243,2.969,,,,,Chlorurus sordidus,Kulbicki et al 2005  listed in Green & Bellwood 66,N,Y,N,,,,,
Scarinae,Chlorurus genazonatus S,Chlor. genazonatus*,Chlorurus,(Randall & Bruce 1983),Small excavators,0.0243,2.969,,,,,Chlorurus sordidus,Kulbicki et al 2005  listed in Green & Bellwood 67,N,Y,N,,,,,
Scarinae,Chlorurus genazonatus,Chlor. genazonatus*,Chlorurus,(Randall & Bruce 1983),Small excavators,0.0243,2.969,,,,,Chlorurus sordidus,Kulbicki et al 2005  listed in Green & Bellwood 68,N,N,Y,,,,,
Scarinae,Chlorurus atrilunula B,Chlor. atrilunula,Chlorurus,(Randall & Bruce 1983),Large excavators,0.0243,2.969,,,,,Chlorurus sordidus,Kulbicki et al 2005  listed in Green & Bellwood 69,N,Y,N,,,,,
Scarinae,Chlorurus atrilunula S,Chlor. atrilunula,Chlorurus,(Randall & Bruce 1983),Small excavators,0.0243,2.969,,,,,Chlorurus sordidus,Kulbicki et al 2005  listed in Green & Bellwood 70,N,Y,N,,,,,
Scarinae,Chlorurus atrilunula,Chlor. atrilunula,Chlorurus,(Randall & Bruce 1983),Small excavators,0.0243,2.969,,,,,Chlorurus sordidus,Kulbicki et al 2005  listed in Green & Bellwood 71,N,N,Y,,,,,
Scarinae,Hipposcarus harid,Hipposcarus harid,Hipposcarus harid,(Fabricius 1775),Scrapers,0.0159,3.000,,,,,Hipposcarus harid,Fishbase,Y,Y,Y,,,,,
Scarinae,Leptoscarus vaigiensis,Leptoscar. vaigiensis,Leptoscarus,(Quoy & Gaimard 1824),Browsers,0.0163,2.991,,,,,Leptoscarus vaigiensis,Green & Bellwood 2009 (citing Kulbicki unpubl.),N,Y,Y,,,,,
Scarinae,Scarus falcipinnis,S. falcipinnis,Scarus,(Playfair 1868),Scrapers,0.0165,3.041,,,,,Scarus ghobban,Kulbicki et al 2005  listed in Green & Bellwood 71,Y,Y,Y,,,,,
Scarinae,Scarus festivus,S. festivus,Scarus,Valenciennes 1840,Scrapers,0.0134,3.16,,,,,Scarus niger ,Kulbicki et al 2005  listed in Green & Bellwood 72,N,Y,Y,,,,,
Scarinae,Scarus frenatus,S. frenatus,Scarus,Lacepede 1802,Scrapers,0.0279,3.06,,,,,Scarus frenatus,Choat et al 1996,N,Y,Y,,,,,
Scarinae,Scarus fuscopurpureus,S. fuscopurpureus*,Scarus,(Klunzinger 1871),Scrapers,0.0165,3.041,,,,,Scarus ghobban,Kulbicki et al 2005  listed in Green & Bellwood 71,N,Y,Y,,,,,
Scarinae,Scarus ghobban,S. ghobban,Scarus,Fabricius 1775,Scrapers,0.0165,3.041,,,,,Scarus ghobban,Kulbicki et al 2005  listed in Green & Bellwood 72,N,Y,Y,,,,,
Scarinae,Scarus globiceps,S. globiceps,Scarus,Valenciennes 1840,Scrapers,0.0222,2.982,,,,,Scarus psittacus,Letourneur New Cal 98,N,Y,Y,,,,,
Scarinae,Scarus niger,S. niger,Scarus,Forsskal 1775,Scrapers,0.0134,3.16,,,,,Scarus niger ,Kulbicki et al 2005  listed in Green & Bellwood 72,N,Y,Y,,,,,
Scarinae,Scarus prasiognathus,S. prasiognathus,Scarus,Valenciennes 1840,Scrapers,0.0184,3.029,,,,,Scarus altipinnis,Kulbicki et al 2005  listed in Green & Bellwood 73,Y,Y,Y,,,,,
Scarinae,Scarus psittacus,S. psittacus,Scarus,Forsskal 1775,Scrapers,0.0222,2.982,,,,,Scarus psittacus,Letourneur New Cal 98,N,Y,Y,,,,,
Scarinae,Scarus rubroviolaceus,S. rubroviolaceus,Scarus,Bleeker 1847,Scrapers,0.0136,3.109,,,,,Scarus rubroviolaceus,Fishbase,Y,Y,Y,,,,,
Scarinae,Scarus russelli,S. russelli,Scarus,Valenciennes 1840,Scrapers,0.0165,3.041,,,,,Scarus ghobban,Kulbicki et al 2005  listed in Green & Bellwood 71,N,Y,Y,,,,,
Scarinae,Scarus scaber,S. scaber,Scarus,Valenciennes 1840,Scrapers,0.0278,2.857,,,,,Scarus scaber,Fishbase,N,Y,Y,,,,,
Scarinae,Scarus tricolor,S. tricolor,Scarus,Bleeker 1847,Scrapers,0.0278,2.857,,,,,Scarus scaber,Fishbase,N,Y,Y,,,,,
Scarinae,Scarus viridifucatus,S. viridifucatus,Scarus,(Smith 1956),Scrapers,0.0278,2.857,,,,,Scarus scaber,Fishbase,N,Y,Y,,,,,
Scarinae,Scarus caudofasciatus,Scarus caudofasciatus,Scarus,(Gunther 1862),Scrapers,0.0136,3.109,,,,,Scarus rubroviolaceus,Fishbase,N,Y,Y,,,,,
Scarinae,Scarus ferrugineus,S. ferrugineus*,Scarus,Forsskål 1775,Scrapers,0.0165,3.041,,,,,Scarus ghobban,Kulbicki et al 2005  listed in Green & Bellwood 72,N,Y,Y,,,,,
Scarinae,Scarus collana,S. collana*,Scarus,Rüppell 1835,Scrapers,0.0278,2.857,,,,,Scarus scaber,Fishbase,N,Y,Y,,,,,
Scarinae,Scarus spp.,Scarus spp.,Scarus,,Scrapers,0.0234,2.956,637,0.996,2.3,68,Scarus spp.,Kulbicki et al 2005  listed in Green & Bellwood 72,N,Y,Y,,,,,
Acanthuridae,Acanthurus blochii,A. blochii,Acanthurus,Valenciennes 1835,Grazer-detritivores,0.0251,3.032,249,0.996,2.5,38.0,Acanthurus blochii,Kulbicki et al 2005  listed in Green & Bellwood 72,N,Y,Y,,,,,
Acanthuridae,Acanthurus dussumieri,A. dussumieri,Acanthurus,Valenciennes 1835,Grazer-detritivores,0.0426,2.868,95,0.993,2.5,51.5,Acanthurus dussumieri,Kulbicki et al 2005  listed in Green & Bellwood 73,N,Y,Y,,,,,
Acanthuridae,Acanthurus gahhm,A. gahhm*,Acanthurus,Gmelin 1789,Grazer-detritivores,0.0168,3.168,51,0.995,4.6,22.5,Acanthurus nigricaudus,Kulbicki et al 2005  listed in Green & Bellwood 74,N,Y,Y,,,,,
Acanthuridae,Acanthurus leucocheilus,A. leucocheilus,Acanthurus,Herre 1927,Grazer-detritivores,0.0168,3.168,,,,,Acanthurus nigricaudus,Kulbicki et al 2005  listed in Green & Bellwood 75,N,Y,Y,,,,,
Acanthuridae,Acanthurus leucosternon,A. leucosternon,Acanthurus,Bennett 1833,Grazers,0.0286,2.921,73,,10.7,18.7,Acanthurus leucosternon,Fishbase,N,Y,Y,,,,,
Acanthuridae,Acanthurus lineatus,A. lineatus,Acanthurus,(Linnaeus 1758),Grazers,0.0126,3.064,94,0.919,8.2, 27.4,Acanthurus lineatus,Fishbase,N,Y,Y,,,,,
Acanthuridae,Acanthurus mata,A. mata,Acanthurus,(Cuvier 1829),Planktivores,0.0222,3.008,48,0.990,10.0,29.5,Acanthurus mata,Kulbicki et al 2005  listed in Green & Bellwood 75,N,Y,Y,,,,,
Acanthuridae,Acanthurus sohal,A. sohal*,Acanthurus,(Gmelin 1789),Grazers,0.0126,3.064,94,0.919,8.2, 27.4,Acanthurus lineatus,Fishbase,N,Y,Y,,,,,
Acanthuridae,Acanthurus nigricaudus,A. nigricaudus,Acanthurus,Duncker & Mohr 1929,Grazer-detritivores,0.0168,3.168,51,0.995,4.6,22.5,Acanthurus nigricaudus,Kulbicki et al 2005  listed in Green & Bellwood 75,N,Y,Y,,,,,
Acanthuridae,Acanthurus nigrofuscus,A. nigrofuscus,Acanthurus,(Forsskal 1775),Grazers,0.0264,3.028,124,0.990,4.5,18.7,Acanthurus nigrofuscus ,Kulbicki et al 2005  listed in Green & Bellwood 76,N,Y,Y,,,,,
Acanthuridae,Acanthurus tennentii,A. tennenti,Acanthurus,(Gunther 1862),Grazer-detritivores,0.0168,3.168,,,,,Acanthurus nigricaudus,Kulbicki et al 2005  listed in Green & Bellwood 77,N,Y,Y,,,,,
Acanthuridae,Acanthurus thompsoni,A. thompsoni,Acanthurus,(Fowler 1923),Planktivores,0.0286,2.921,,,,,Acanthurus leucosternon,Fishbase,N,Y,Y,,,,,
Acanthuridae,Acanthurus triostegus,A. triostegus,Acanthurus,(Linnaeus 1758),Grazer-detritivores,0.0831,2.570,22,0.972,6.5,16.5,Acanthurus triostegus ,Kulbicki et al 2005  listed in Green & Bellwood 77,N,Y,Y,,,,,
Acanthuridae,Acanthurus xanthopterus,A. xanthopterus,Acanthurus,Valenciennes 1835,Grazer-detritivores,0.0267,2.984,35,0.999,8.0,57.0,Acanthurus xanthopterus ,Kulbicki et al 2005  listed in Green & Bellwood 78,N,Y,Y,,,,,
Acanthuridae,Acanthurus guttatus,Acanthurus guttatus,Acanthurus,Forster 1801,Grazers,0.02818,2.98,,,,,,,N,Y,Y,,,,,
Acanthuridae,Acanthurus tristis,A. tristis,Acanthurus,Randall 1993,Browsers,0.028,2.983,,,,,Acanthurus spp.,Kulbicki et al 2005  listed in Green & Bellwood 78,N,Y,Y,,,,,
Acanthuridae,Acanthurus spp.,Acanthurus sp.,Acanthurus,,Grazers,0.028,2.983,1141,0.995,2.0,60.0,Acanthurus spp.,Kulbicki et al 2005  listed in Green & Bellwood 79,N,Y,Y,,,,,
Acanthuridae,Ctenochaetus striatus,C. striatus,Ctenochaetus,(Quoy & Gaimard 1825),Detritivores,0.0231,3.063,180,0.995,3.8,21.0,Ctenochaetus striatus,Kulbicki et al 2005  listed in Green & Bellwood 80,N,Y,Y,,,,,
Acanthuridae,Ctenochaetus truncatus,C. truncatus,Ctenochaetus,Randall & Clements 2001,Detritivores,0.0237,3.056,,,,,Ctenochaetus spp.,Kulbicki et al 2005  listed in Green & Bellwood 81,N,Y,Y,,,,,
Acanthuridae,Ctenochaetus binotatus,Ctenochaetus binot,Ctenochaetus,Randall 1955,Detritivores,0.0392,2.875,18,0.969,8.5,15.3,Ctenochaetus binotatus,Kulbicki et al 2005  listed in Green & Bellwood 82,N,Y,Y,,,,,
Acanthuridae,Ctenochaetus spp.,Ctenochaetus spp. ,Ctenochaetus,,Detritivores,0.0392,2.875,,,,,Ctenochaetus spp. ,Kulbicki et al 2005  listed in Green & Bellwood 83,N,Y,Y,,,,,
Acanthuridae,Naso brachycentron,N. brachycentron,Naso,(Valenciennes 1835),Browsers,0.0085,3.250,,,,,Naso spp.,Kulbicki et al 2005  listed in Green & Bellwood 84,N,Y,Y,,,,,
Acanthuridae,Naso brevirostris B,N. brevirostris,Naso,(Cuvier 1829),Planktivores,0.0107,3.243,,,,,Naso brevirostris ,Kulbicki et al 2005  listed in Green & Bellwood 85,N,Y,N,,,,,
Acanthuridae,Naso brevirostris S,N. brevirostris,Naso,(Cuvier 1829),Browsers,0.0107,3.243,,,,,Naso brevirostris ,Kulbicki et al 2005  listed in Green & Bellwood 86,N,Y,N,,,,,
Acanthuridae,Naso brevirostris,N. brevirostris,Naso,(Cuvier 1829),Browsers,0.0107,3.243,27,0.991,2.0,33.0,Naso brevirostris ,Kulbicki et al 2005  listed in Green & Bellwood 87,N,N,Y,,,,,
Acanthuridae,Naso mcdadei,Naso mcdadei,Naso,Johnson 2002,,0.0107,3.243,,,,,Naso brevirostris ,Kulbicki et al 2005  listed in Green & Bellwood 87,N,Y,Y,,,,,
Acanthuridae,Naso elegans,N. elegans,Naso,(Rüppell 1829),Browsers,0.0107,3.243,,,,,Naso brevirostris ,Kulbicki et al 2005  listed in Green & Bellwood 86,N,Y,Y,,,,,
Acanthuridae,Naso fageni,N. fageni,Naso,Morrow 1954,Planktivores,0.0195,3.000,,,,,,,N,Y,Y,,,,,
Acanthuridae,Naso hexacanthus B,N. hexacanthus,Naso,(Bleeker 1855),Planktivores,0.0085,3.250,,,,,Naso spp.,Kulbicki et al 2005  listed in Green & Bellwood 84,N,Y,N,,,,,
Acanthuridae,Naso hexacanthus S,N. hexacanthus,Naso,(Bleeker 1855),Browsers,0.0085,3.250,,,,,Naso spp.,Kulbicki et al 2005  listed in Green & Bellwood 85,N,Y,N,,,,,
Acanthuridae,Naso hexacanthus,N. hexacanthus,Naso,(Bleeker 1855),Planktivores,0.0085,3.250,,,,,Naso spp.,Kulbicki et al 2005  listed in Green & Bellwood 86,N,N,Y,,,,,
Acanthuridae,Naso minor,N. minor,Naso,(Smith 1966),,0.01862,3.05,,,,,,,N,Y,Y,,,,,
Acanthuridae,Naso thynnoides,N. thynnoides,Naso,(Cuvier 1829),Planktivores,0.0107,3.243,,,,,Naso brevirostris ,Kulbicki et al 2005  listed in Green & Bellwood 86,N,Y,Y,,,,,
Acanthuridae,Naso tuberosus,N. tuberosus,Naso,Lacepede 1801,Browsers,0.0085,3.250,,,,,Naso spp.,Kulbicki et al 2005  listed in Green & Bellwood 86,N,Y,Y,,,,,
Acanthuridae,Naso unicornis,N. unicornis,Naso,(Forsskål 1775),Browsers,0.0179,3.035,66,0.989,18.5,60.0,Naso unicornis,Kulbicki et al 2005  listed in Green & Bellwood 87,N,Y,Y,,,,,
Acanthuridae,Naso vlamingii,N. vlamingii,Naso,(Valenciennes 1835),Planktivores,0.0085,3.250,,,,,Naso spp.,Kulbicki et al 2005  listed in Green & Bellwood 86,N,Y,Y,,,,,
Acanthuridae,Naso annulatus B,Naso annulatus,Naso,(Quoy & Gaimard 1825),Planktivores,0.0107,3.243,9,0.989,28.0,42.0,Naso annulatus ,Kulbicki et al 2005  listed in Green & Bellwood 87,N,Y,N,,,,,
Acanthuridae,Naso annulatus S,Naso annulatus,Naso,(Quoy & Gaimard 1825),Browsers,0.0107,3.243,9,0.989,28.0,42.0,Naso annulatus ,Kulbicki et al 2005  listed in Green & Bellwood 88,N,Y,N,,,,,
Acanthuridae,Naso annulatus ,Naso annulatus,Naso,(Quoy & Gaimard 1825),Browsers,0.0107,3.243,9,0.989,28.0,42.0,Naso annulatus ,Kulbicki et al 2005  listed in Green & Bellwood 89,N,N,Y,,,,,
Acanthuridae,Paracanthurus hepatus,Paracanth. hepatus,Paracanthus,(Linnaeus 1766),Planktivores,0.0222,3.008,,,,,Acanthurus mata,Kulbicki et al 2005  listed in Green & Bellwood 90,N,Y,Y,,,,,
Acanthuridae,Zebrasoma flavescens,Z. flavescens,Zebrasoma,(Bennett 1828),,0.0291,2.993,,,,,Zebrasoma scopas,Kulbicki et al 2005  listed in Green & Bellwood 90,N,Y,Y,,,,,
Acanthuridae,Zebrasoma gemmatum,Z. gemmatum,Zebrasoma,(Valenciennes 1835),Grazers,0.02291,2.970,,,,,,,N,Y,Y,,,,,
Acanthuridae,Zebrasoma scopas,Z. scopas,Zebrasoma,(Cuvier 1829),Grazers,0.0291,2.993,104,0.989,4.0,16.0,Zebrasoma scopas,Kulbicki et al 2005  listed in Green & Bellwood 90,N,Y,Y,,,,,
Acanthuridae,Zebrasoma velifer,Z. velifer,Zebrasoma,(Bloch 1795),Grazers,0.0343,2.866,77,0.995,4.0,24.0,Zebrasoma velifer,Kulbicki et al 2005  listed in Green & Bellwood 91,N,Y,Y,,,,,
Acanthuridae,Zebrasoma desjardinii,Zebrasom. desjardinii,Zebrasoma,(Bennett 1836),Grazers,0.0343,2.866,,,,,Zebrasoma velifer,Kulbicki et al 2005  listed in Green & Bellwood 92,N,Y,Y,,,,,
Acanthuridae,Zebrasoma xanthurum,Zebrasoma xanthurum*,Zebrasoma,(Blyth 1852),Grazers,0.0378,2.857,181,0.991,4,26.500,Zebrasoma spp.,Kulbicki et al 2005  listed in Green & Bellwood 93,N,Y,Y,,,,,
Siganidae,Siganus corallinus,S. corallinus,Siganus,(Valenciennes 1835),,0.0023,3.822,9,0.996,9.0,19.0,Siganus corallinus,Kulbicki et al 2005  listed in Green & Bellwood 94,N,Y,Y,,,,,
Siganidae,Siganus luridus,S. luridus ,Siganus,(Ruppell 1829),Grazers,0.0023,3.822,,,,,Siganus corallinus,Kulbicki et al 2005  listed in Green & Bellwood 95,N,Y,Y,,,,,
Siganidae,Siganus stellatus,S. stellatus ,Siganus,(Forsskal 1775),Grazers,0.0131,3.088,,,,,Siganus argenteus ,Letourneur New Cal,N,Y,Y,,,,,
Siganidae,Siganus sutor,S. sutor ,Siganus,(Valenciennes 1835),Grazers,0.0041,3.29,2093,0.912,22.0,58.0,Siganus sutor ,Mbaru et al 2010,N,Y,Y,,,,,
Siganidae,Siganus argenteus,Siganus argenteus ,Siganus,(Quoy & Gaimard 1825),Grazers,0.0131,3.088,,,,,Siganus argenteus ,Letourneur New Cal,N,Y,Y,,,,,
Siganidae,Siganus rivulatus,S. rivulatus*,Siganus,(Woodland 1990),Grazers,0.022,2.82,112,0.872,5.5,27.6,Siganus rivulatus,Kulbicki et al 2005  listed in Green & Bellwood 95,N,Y,Y,,,,,
Siganidae,Siganus spp.,Siganus spp.,Siganus,,Grazers,0.0145,3.122,,,,,Siganus spp.,Fishbase,N,Y,Y,,,,,
Siganidae,Siganus sp. 2,,Siganus,,Grazers,0.0145,3.122,,,,,Siganus spp.,Fishbase,N,Y,Y,,,,,
Siganidae,Siganus sp.1,,Siganus,,Grazers,0.0145,3.122,,,,,Siganus spp.,Fishbase,N,Y,Y,,,,,
Balistidae,Abalistes stellatus ,Abalistes stellatus ,Abalistes,(Anonymous 1798),Invertivores,0.0263,2.87,,,,,,,N,Y,Y,,,,,
Balistidae,Balistoides viridescens,B. viridescens ,Balistoides,(Bloch & Schneider 1801),Invertivores,0.0244,3.018,10,0.998,27.4,61.0,Balistoides viridescens ,Kulbicki et al 2005  listed in Green & Bellwood 95,N,Y,Y,,,,,
Balistidae,Balistapus undulatus,Balistapus undulatus ,Balistapus,(Park 1797),Invertivores,0.0058,3.554,,,,,Balistapus undulatus ,Fishbase,N,Y,Y,,,,,
Balistidae,Balistapus sp.,Balistapus sp.,Balistapus,,Invertivores,0.0058,3.554,,,,,Balistapus undulatus ,Fishbase,N,Y,Y,,,,,
Balistidae,Balistoides conspicillum,Balistoid. conspicillum ,Balistoides,(Bloch & Schneider 1801),Invertivores,0.0244,3.018,,,,,Balistoides viridescens ,Kulbicki et al 2005  listed in Green & Bellwood 95,N,Y,Y,,,,,
Balistidae,Melichthys indicus,Melichthys indicus ,Melichthys,Randall & Klausewitz 1973,Planktivores,0.0058,3.554,,,,,Balistapus undulatus ,Fishbase,N,Y,Y,,,,,
Balistidae,Melichthys niger,Melichthys niger,Melichthys,(Bloch 1786),Planktivores,0.0058,3.554,,,,,Balistapus undulatus ,Fishbase,N,Y,Y,,,,,
Balistidae,Melichthys sp.,,Melichthys,,Planktivores,0.0058,3.554,,,,,Balistapus undulatus ,Fishbase,N,Y,Y,,,,,
Balistidae,Odonus niger,Odonus niger ,Odonus,(Rüppell 1836),Planktivores,0.0366,3.000,1,,32.0,32.0,Odonus niger ,Fishbase,N,Y,Y,,,,,
Balistidae,Pseudobalistes fuscus,P. fuscus ,Pseudobalistes,(Bloch & Schneider 1801),Invertivores,0.0726,2.760,76,0.989,16.3,58.0,Pseudobalistes fuscus ,Kulbicki et al 2005  listed in Green & Bellwood 95,N,Y,Y,,,,,
Balistidae,Pseudobalistes flavimarginatus,Pseudob. flavimargin,Pseudobalistes,(Ruppell 1829),Invertivores,0.0287,2.966,,,,,Sufflamen fraenatus ,Kulbicki et al 2005  listed in Green & Bellwood 96,N,Y,Y,,,,,
Balistidae,Rhinecanthus rectangulus,R. rectangulus ,Rhinecanthus,(Bloch & Schneider 1801),Invertivores,0.0287,2.966,,,,,Sufflamen fraenatus ,Kulbicki et al 2005  listed in Green & Bellwood 97,N,Y,Y,,,,,
Balistidae,Rhinecanthus aculeatus,Rhinecanth. aculeatus ,Rhinecanthus,(Linnaeus 1758),Invertivores,0.0287,2.966,,,,,Sufflamen fraenatus ,Kulbicki et al 2005  listed in Green & Bellwood 98,N,Y,Y,,,,,
Balistidae,Rhinecanthus assasi,Rhinecanth. assasi*,Rhinecanthus,(Fabricius 1775),Invertivores,0.0234,2.960,,,,,Rhinecanthus assasi,Fishbase,N,Y,Y,,,,,
Balistidae,Sufflamen chrysopterum,S. chrysopterum,Sufflamen,(Bloch & Schneider 1801),Invertivores,0.0287,2.966,,,,,Sufflamen spp.,Kulbicki et al 2005  listed in Green & Bellwood 95,N,Y,Y,,,,,
Balistidae,Sufflamen fraenatus ,S. fraenatus ,Sufflamen,(Latreille 1804),Invertivores,0.0287,2.966,118,0.980,18.5,36.5,Sufflamen fraenatus ,Kulbicki et al 2005  listed in Green & Bellwood 96,N,Y,Y,,,,,
Balistidae,Sufflamen bursa,Sufflamen bursa ,Sufflamen,(Bloch & Schneider 1801),Invertivores,0.0287,2.966,1,,17.2,17.2,Sufflamen fraenatus ,Kulbicki et al 2005  listed in Green & Bellwood 96,N,Y,Y,,,,,
Balistidae,Sufflamen sp.,Sufflamen sp.,Sufflamen,,Invertivores,0.0324,2.929,122,0.982,16.6,36.5,Sufflamen spp.,Kulbicki et al 2005  listed in Green & Bellwood 95,N,Y,Y,,,,,
Balistidae,Xanthichthys auromarginatus,Xanthichthys auromarginatus,Xanthichthys,(Bennett 1832),Planktivores,0.0058,3.554,,,,,Xanthichthys undulatus,Kulbicki et al 2005  listed in Green & Bellwood 96,N,Y,Y,,,,,
Monacanthidae,Aluterus scriptus ,Aluterus scriptus ,Aluterus,(Osbeck 1765),,,,,,,,,,N,N,Y,,,,,
Monacanthidae,Amanses scopas ,Amanses scopas ,Amanses,(Cuvier 1829),,,,,,,,,,N,N,Y,,,,,
Monacanthidae,Cantherines fronticinctus ,C. fronticinctus ,Cantherines,(Günther 1867),,,,,,,,,,N,N,Y,,,,,
Monacanthidae,Cantherines pardalis ,C. pardalis ,Cantherines,(Rüppell 1837),,,,,,,,,,N,N,Y,,,,,
Monacanthidae,Cantherines dumerilii ,Cantherines dumerilii ,Cantherines,(Hollard 1854),,,,,,,,,,N,N,Y,,,,,
Monacanthidae,Oxymonacanthus longirostris,Oxymonacanth longir ,Oxymonacanthus,(Bloch & Schneider 1801),,,,,,,,,,N,N,Y,,,,,
Monacanthidae,Paramonacanthus sp.,Paramonacanthus sp.,Paramonacanthus,,,,,,,,,,,N,N,Y,,,,,
Monacanthidae,Pervagor janthinosoma,Pervagor janthinosoma,Pervagor,(Bleeker 1854),,,,,,,,,,N,N,Y,,,,,
Monacanthidae,Pseudalutarius nasicornis ,Pseudalutarius nasicor ,Pseudalutarius,"(Temminck & Schlegel, 1850)",,,,,,,,,,N,N,Y,,,,,
Ostraciidae,Lactoria cornuta ,Lactoria cornuta ,Lactoria,(Linnaeus 1758),,,,,,,,,,N,N,Y,,,,,
Ostraciidae,Ostracion meleagris ,O. meleagris ,Ostracion,Shaw 1796,,,,,,,,,,N,N,Y,,,,,
Ostraciidae,Ostracion cubicus ,Ostracion cubicus ,Ostracion,Linnaeus 1758,,,,,,,,,,N,N,Y,,,,,
Tetraodontidae,Arothron mappa ,A. mappa ,Arothron,(Lesson 1831),,,,,,,,,,N,N,Y,,,,,
Tetraodontidae,Arothron nigropunctatus ,A. nigropunctatus ,Arothron,(Bloch & Schneider 1801),,,,,,,,,,N,N,Y,,,,,
Tetraodontidae,Arothron stellatus ,A. stellatus ,Arothron,(Anonymous 1798),,,,,,,,,,N,N,Y,,,,,
Tetraodontidae,Arothron hispidus ,Arothron hispidus ,Arothron,(Linnaeus 1758),,,,,,,,,,N,N,Y,,,,,
Tetraodontidae,Arothron meleagris,Arothron meleagris,Arothron,(Anonymous 1798),,,,,,,,,,N,N,Y,,,,,
Tetraodontidae,Canthigaster janthinoptera ,C. janthinoptera ,Canthigaster,(Bleeker 1855),,,,,,,,,,N,N,Y,,,,,
Tetraodontidae,Canthigaster valentini ,C. valentini ,Canthigaster,(Bleeker 1853),,,,,,,,,,N,N,Y,,,,,
Tetraodontidae,Canthigaster amboinensis,Canthigaster amboinensis,Canthigaster,(Bleeker 1864),,,,,,,,,,N,N,Y,,,,,
Tetraodontidae,Canthigaster bennetti,Canthigaster bennetti,Canthigaster,(Bleeker 1854),,,,,,,,,,N,N,Y,,,,,
Tetraodontidae,Canthigaster coronata,Canthigaster coronata,Canthigaster,(Vaillant & Sauvage 1875),,,,,,,,,,N,N,Y,,,,,
Tetraodontidae,Canthigaster petersii,Canthigaster petersii,Canthigaster,(Bianconi 1854),,,,,,,,,,N,N,Y,,,,,
Tetraodontidae,Canthigaster rivulata,Canthigaster rivulata,Canthigaster,(Temminck & Schlegel 1850),,,,,,,,,,N,N,Y,,,,,
Tetraodontidae,Canthigaster smithae,Canthigaster smithae,Canthigaster,Allen & Randall 1977,,,,,,,,,,N,N,Y,,,,,
