f,Species,Old Name,Genus,Taxonomic Authority,Trophic Group,a,b,N,r,L.min,L.max,Source species,Citation,LS,TS,Diversity,,,,,
Epinephelidae,Plectropomus laevis,Plectropomus laevis,Plectropomus,(Lacepede 1801),Primary Piscivores,0.0059,3.238,17,0.996,18.1,95,Plectropomus laevis,Kulbicki et al 2005  listed in Green & Bellwood 16,Y,Y,Y,,,,,
Epinephelidae,Plectropomus pessuliferus,Plectropomus sub. pessuliferus,Plectropomus,(Fowler 1904),Primary Piscivores,0.0107,3.086,212,0.996,10.7,95,Plectropomus spp.,Kulbicki et al 2005  listed in Green & Bellwood 17,Y,Y,Y,,,,,
Epinephelidae,Variola albimarginata,Variola albimarginata,Variola,Baissac 1953,Primary Piscivores,0.0122,3.079,41,0.995,20,66,Variola louti,Kulbicki et al 2005  listed in Green & Bellwood 18,Y,Y,Y,,,,,
Epinephelidae,Variola louti,V. louti,Variola,(Fabricius 1775),Primary Piscivores,0.0122,3.079,41,0.995,20,66,Variola louti,Kulbicki et al 2005  listed in Green & Bellwood 19,Y,Y,Y,,,,,
Epinephelidae,Epinephelus spp.,Epinephelus spp.,Epinephelus,,Primary Piscivores,0.0122,3.053,2712,0.996,3.5,128,Epinephelus spp.,Kulbicki et al 2005  listed in Green & Bellwood 12,Y,Y,Y,,,,,
Carangidae,Decapterus sp.,Decapterus spp.,Decapterus,,Piscivores,0.0139,2.963,,,,,Decapterus russelli,Kulbicki et al 2005  listed in Green & Bellwood 19,Y,N,Y,,,,,
Carangidae,Alepes djedaba,Alepes djedaba,Alepes,(Fabricius 1775),Piscivores,0.01349,2.95,,,,40,,,N,N,Y,,,,,
Carangidae,Carangoides ferdau,C. ferdau ,Carangoides,(Fabricius 1775),Piscivores,0.0368,2.851,31,0.99,24.5,60.5,Carangoides ferdau ,Kulbicki et al 2005  listed in Green & Bellwood 19,Y,N,Y,,,,,
Carangidae,Carangoides fulvoguttatus,C. fulvoguttatus ,Carangoides,(Forsskal 1775),Piscivores,0.0329,2.808,54,0.993,16,81,Carangoides fulvoguttatus ,Kulbicki et al 2005  listed in Green & Bellwood 20,Y,N,Y,,,,,
Carangidae,Caranx ignobilis,C. ignobilis ,Caranx,(Forsskal 1775),Piscivores,0.0164,3.059,94,0.998,7,93,Caranx ignobilis,Kulbicki et al 2005  listed in Green & Bellwood 21,Y,N,Y,,,,,
Carangidae,Caranx melampygus,C. melampygus ,Caranx,Cuvier 1833,Piscivores,0.0234,2.918,25,0.999,5.5,54,Caranx melampygus,Kulbicki et al 2005  listed in Green & Bellwood 22,Y,N,Y,,,,,
Carangidae,Caranx papuensis,C. papuensis ,Caranx,Alleyne & Macleay 1877,Piscivores,0.0235,2.923,135,0.997,6.5,65,Caranx papuensis,Kulbicki et al 2005  listed in Green & Bellwood 22,Y,N,Y,,,,,
Carangidae,Caranx sexfasciatus,C. sexfasciatus ,Caranx,Quoy & Gaimard 1825,Piscivores,0.0198,2.986,,,,93,Caranx spp.,Kulbicki et al 2005  listed in Green & Bellwood 22,Y,N,Y,,,,,
Carangidae,Carangoides gymnostethus,Carang. gymnostethus,Carangoides,(Cuvier 1833),Piscivores,0.0463,2.746,,,,90,Carangoides gymnostethus,Fishbase,Y,N,Y,,,,,
Carangidae,Carangoides bajad,C. bajad,Carangoides,(Forsskål 1775),Primary Piscivores,0.0199,2.869,,,,55,Carangoides bajad,Fishbase,Y,N,Y,,,,,
Carangidae,Caranx heberi,Caranx heberi,Caranx,(Bennett 1830),Primary Piscivores,0.0386,2.856,,,,88,Caranx heberi,Fishbase,Y,N,Y,,,,,
Carangidae,Elagatis bipinnulata,Elagatis bipinnulata ,Elagatis,(Quoy & Gaimard 1825),Piscivores,0.0135,2.92,2,,,180,Elagatis bipinnulata ,Fishbase,Y,N,Y,,,,,
Carangidae,Gnathanodon speciosus,Gnathanodon speciosus ,Gnathanodon,(Forsskal 1775),Piscivores,0.0199,2.995,20,0.999,4,74.5,Gnathanodon speciosus ,Kulbicki et al 2005  listed in Green & Bellwood 22,Y,N,Y,,,,,
Carangidae,Scomberoides lysan,S. lysan ,Scomberoid,(Fabricius 1775),Piscivores,0.0109,2.923,14,0.995,11.5,55.5,Scomberoides lysan ,Kulbicki et al 2005  listed in Green & Bellwood 22,Y,N,Y,,,,,
Carangidae,Scomberoides commersonianus,Scomberoid commerson ,Scomberoid,Lacepede 1801,Piscivores,0.015,2.89,,,13,50.4,Scomberoides commersonianus,Fishbase,Y,N,Y,,,,,
Carangidae,Scomberoides tol,S. tol,Scomberoid,(Cuvier 1832),Primary Piscivores,0.015,2.89,,,,,Scomberoides commersonianus,Fishbase,Y,N,Y,,,,,
Carangidae,Selar crumenophthalmus,Selar crumenophthalmus ,Selar,(Bloch 1793),Piscivores,0.0097,3.194,34,0.966,18,27.5,Selar crumenophthalmus ,Kulbicki et al 2005  listed in Green & Bellwood 22,Y,N,Y,,,,,
Carangidae,Trachinotus blochii,Trachinotus blochii,Trachinotus,(Lacepède 1801),Primary piscivores,0.352,2.252,42,,41,80,Trachinotus blochii,Fishbase,Y,N,Y,,,,,
Carangidae,Carangoides spp.,Carangoid. sp1,Carangoides,,Primary Piscivores,0.0198,2.986,,,,,Caranx spp.,Kulbicki et al 2005  listed in Green & Bellwood 22,Y,N,Y,,,,,
Lutjanidae,Aphareus furca,Aphareus furca ,Aphareus,(Lacepede 1801),Omnivores,0.023,2.886,,,,88,Aprion virescens ,Kulbicki et al 2005  listed in Green & Bellwood 22,Y,Y,Y,,,,,
Lutjanidae,Aprion virescens,Aprion virescens ,Aprion,Valenciennes 1830,Primary Piscivores,0.023,2.886,121,0.98,22.5,88,Aprion virescens ,Kulbicki et al 2005  listed in Green & Bellwood 23,Y,Y,Y,,,,,
Lutjanidae,Lutjanus bohar,L. bohar ,Lutjanus,(Fabricius 1775),Primary Piscivores,0.0156,3.059,510,0.997,4,75,Lutjanus bohar ,Kulbicki et al 2005  listed in Green & Bellwood 24,Y,Y,Y,,,,,
Lutjanidae,Lutjanus coeruleolineatus,L. coerulineatus*,Lutjanus,(Ruppell 1828),Omnivores,0.0084,3.247,127,0.983,4,26,Lutjanus kasmira ,Kulbicki et al 2005  listed in Green & Bellwood 25,N,Y,Y,,,,,
Lutjanidae,Lutjanus ehrenbergi,L. ehrenbergi,Lutjanus,(Peters 1869),Omnivores,0.025,2.960,,,,32.500,Lutjanus fulviflamma ,Kulbicki et al 2005  listed in Green & Bellwood 26,N,Y,Y,,,,,
Lutjanidae,Lutjanus fulviflamma,L. fulviflamma ,Lutjanus,(Forsskal 1775),Omnivores,0.025,2.96,867,0.994,5,32.5,Lutjanus fulviflamma ,Kulbicki et al 2005  listed in Green & Bellwood 27,N,Y,Y,,,,,
Lutjanidae,Lutjanus fulvus,L. fulvus ,Lutjanus,(Forster 1801),Omnivores,0.0211,2.974,318,0.994,4,31,Lutjanus fulvus ,Kulbicki et al 2005  listed in Green & Bellwood 28,N,Y,Y,,,,,
Lutjanidae,Lutjanus gibbus,L. gibbus,Lutjanus,(Forsskal 1775),Omnivores,0.0131,3.138,515,0.991,14.2,40.5,Lutjanus gibbus,Kulbicki et al 2005  listed in Green & Bellwood 29,Y,Y,Y,,,,,
Lutjanidae,Lutjanus lutjanus,L. lutjanus ,Lutjanus,Bloch 1790,Omnivores,0.0182,2.969,68,0.994,8.5,28,Lutjanus lutjanus,Kulbicki et al 2005  listed in Green & Bellwood 29,N,Y,Y,,,,,
Lutjanidae,Lutjanus kasmira,L. kasmira ,Lutjanus,(Fabricius 1775),Omnivores,0.0084,3.247,127,0.983,4,26,Lutjanus kasmira ,Kulbicki et al 2005  listed in Green & Bellwood 29,N,Y,Y,,,,,
Lutjanidae,Lutjanus monostigma,L. monostigma ,Lutjanus,(Cuvier 1828),Omnivores,0.0222,2.913,15,0.986,25,53.5,Lutjanus monostigma ,Kulbicki et al 2005  listed in Green & Bellwood 30,Y,Y,Y,,,,,
Lutjanidae,Lutjanus rivulatus,L. rivulatus ,Lutjanus,(Cuvier 1828),Omnivores,0.0084,3.26,12,0.994,15.5,76,Lutjanus rivulatus ,Kulbicki et al 2005  listed in Green & Bellwood 31,Y,Y,Y,,,,,
Lutjanidae,Lutjanus bengalensis,L. bengalensis,Lutjanus,(Bloch 1790),Omnivores,0.0084,3.247,127,0.983,4,26,Lutjanus kasmira ,Kulbicki et al 2005  listed in Green & Bellwood 31,N,Y,Y,,,,,
Lutjanidae,Lutjanus argentimaculatus,Lutjanus argentimac. ,Lutjanus,(Forsskal 1775),Omnivores,0.028,2.844,308.000,0.997,5.500,68.000,Lutjanus argentimaculatus,Kulbicki et al 2005  listed in Green & Bellwood 32,Y,Y,Y,,,,,
Lutjanidae,Macolor niger,Macolor niger ,Macolor,(Forsskal 1775),Omnivores,0.0308,3.000,,,,70,Macolor niger,Fishbase,Y,Y,Y,,,,,
Lutjanidae,Macolor macularis,Macolor macularis,Macolor,Fowler 1931,Omnivores,0.0308,3.000,,,,70,Macolor niger,Fishbase,Y,Y,Y,,,,,
Lutjanidae,Paracaesio sordidus,Paracaesio sordidus,Paracaesio,Abe & Shinohara 1962,Omnivores,0.0178,3.05,,,,48,,,N,Y,Y,,,,,
Lutjanidae,Lutjanus spp.,Lutjanus spp.,Lutjanus,,Omnivores,0.0151,3.057,5107,0.993,4,77,Lutjanus spp.,Kulbicki et al 2005  listed in Green & Bellwood 32,Y,Y,Y,,,,,
Caesionidae,Caesio lunaris,C. lunaris ,Caesio,Cuvier 1830,Planktivores,0.0093,3.253,,,,40,Caesio spp.,Kulbicki et al 2005  listed in Green & Bellwood 33,N,Y,Y,,,,,
Caesionidae,Caesio varilineata,C. varilineata,Caesio,Carpenter 1987,Planktivores,0.0093,3.253,,,,40,Caesio spp.,Kulbicki et al 2005  listed in Green & Bellwood 33,N,Y,Y,,,,,
Caesionidae,Caesio xanthonota,C. xanthonota ,Caesio,Bleeker 1853,Planktivores,0.0126,3.09,,,,40,Caesio spp.,Kulbicki et al 2005  listed in Green & Bellwood 33,N,Y,Y,,,,,
Caesionidae,Caesio caerulaurea,Caesio caerulaurea ,Caesio,Lacepède 1801,Planktivores,0.0093,3.253,,,,35,Caesio spp.,Kulbicki et al 2005  listed in Green & Bellwood 34,N,Y,Y,,,,,
Caesionidae,Caesio teres,Caesio teres,Caesio,Seale 1906,Planktivores,0.0093,3.253,,,6.7,24.3,Caesio spp.,Kulbicki et al 2005  listed in Green & Bellwood 35,N,Y,Y,,,,,
Caesionidae,Pterocaesio chrysozona,Pterocaesio chrysozona,Pterocaesio,(Cuvier 1830),Planktivores,0.0093,3.253,,,,21,Caesio spp.,Kulbicki et al 2005  listed in Green & Bellwood 36,N,Y,Y,,,,,
Caesionidae,Pterocaesio marri,Pterocaesio marri,Pterocaesio,Schultz 1953,Planktivores,0.0093,3.253,,,,35,Caesio spp.,Kulbicki et al 2005  listed in Green & Bellwood 37,N,Y,Y,,,,,
Caesionidae,Pterocaesio pisang,Pterocaesio pisang ,Pterocaesio,(Bleeker 1853),Planktivores,0.01,3.100,,,,21.000,,,N,Y,Y,,,,,
Caesionidae,Pterocaesio sp. (cf. trilineata),Pterocaesio sp.(cf trilineata),Pterocaesio,(Carpenter 1987),Planktivores,0.0107,3.178,,,6,15,Pterocaesio trilineata ,Kulbicki et al 2005  listed in Green & Bellwood 37,N,Y,Y,,,,,
